X                    Y                    Z                    Dose [pSv/h]                             Rel. Error                 
-2127,52             406,57               -614,45              3,613759E+10                             6,071103E-03               
-2117,23             406,57               -614,45              3,632973E+10                             6,08757E-03                
-2415,63             415,92               -614,45              3,033399E+10                             4,552167E-03               
-2405,34             415,92               -614,45              3,053202E+10                             4,608643E-03               
-2395,05             415,92               -614,45              3,07304E+10                              4,663443E-03               
-2384,76             415,92               -614,45              3,093528E+10                             4,7261E-03                 
-2374,47             415,92               -614,45              3,114129E+10                             4,793087E-03               
-2364,18             415,92               -614,45              3,134458E+10                             4,846808E-03               
-2353,89             415,92               -614,45              3,155126E+10                             4,913636E-03               
-2343,6              415,92               -614,45              3,175911E+10                             4,976549E-03               
-2333,31             415,92               -614,45              3,196644E+10                             5,039714E-03               
-2323,02             415,92               -614,45              3,217351E+10                             5,096559E-03               
-2312,73             415,92               -614,45              3,238824E+10                             5,166596E-03               
-2302,44             415,92               -614,45              3,259876E+10                             5,229016E-03               
-2292,16             415,92               -614,45              3,281505E+10                             5,300602E-03               
-2281,87             415,92               -614,45              3,302657E+10                             5,360788E-03               
-2271,58             415,92               -614,45              3,324218E+10                             5,426379E-03               
-2261,29             415,92               -614,45              3,345541E+10                             5,490635E-03               
-2251                415,92               -614,45              3,367701E+10                             5,567674E-03               
-2240,71             415,92               -614,45              3,38877E+10                              5,625673E-03               
-2230,42             415,92               -614,45              3,410321E+10                             5,688575E-03               
-2220,13             415,92               -614,45              3,43137E+10                              5,7462E-03                 
-2209,84             415,92               -614,45              3,452619E+10                             5,799414E-03               
-2199,55             415,92               -614,45              3,474637E+10                             5,866378E-03               
-2189,26             415,92               -614,45              3,49586E+10                              5,923239E-03               
-2178,97             415,92               -614,45              3,516844E+10                             5,974288E-03               
-2168,68             415,92               -614,45              3,538104E+10                             6,030279E-03               
-2158,39             415,92               -614,45              3,558338E+10                             6,061663E-03               
-2148,1              415,92               -614,45              3,579589E+10                             6,111366E-03               
-2137,81             415,92               -614,45              3,599975E+10                             6,152689E-03               
-2127,52             415,92               -614,45              3,619786E+10                             6,17164E-03                
-2117,23             415,92               -614,45              3,640509E+10                             6,210239E-03               
-2415,63             425,27               -614,45              3,034508E+10                             4,551813E-03               
-2405,34             425,27               -614,45              3,054551E+10                             4,613489E-03               
-2395,05             425,27               -614,45              3,074679E+10                             4,671522E-03               
-2384,76             425,27               -614,45              3,095209E+10                             4,734401E-03               
-2374,47             425,27               -614,45              3,1158E+10                               4,799439E-03               
-2364,18             425,27               -614,45              3,135792E+10                             4,852681E-03               
-2353,89             425,27               -614,45              3,157162E+10                             4,926625E-03               
-2343,6              425,27               -614,45              3,177923E+10                             4,992032E-03               
-2333,31             425,27               -614,45              3,198999E+10                             5,060813E-03               
-2323,02             425,27               -614,45              3,220039E+10                             5,124348E-03               
